x,y,t
0.259450172,0.312964774,3
0.271668958,0.304337886,3
0.28465063,0.29283537,3
0.289996564,0.272705967,3
0.296869416,0.258327822,3
0.299923253,0.249700935,3
0.311378007,0.242990654,3
0.321305842,0.237239396,3
0.328942726,0.23244716,3
0.338106529,0.228612509,3
0.349561283,0.221902229,3
0.356434135,0.214234364,3
0.363306987,0.207524083,3
0.37628866,0.19410496,3
0.384688431,0.185478073,3
0.390034364,0.170140906,3
0.396143184,0.15863839,3
0.403016037,0.145219267,3
0.407597938,0.133716751,3
0.425162658,0.122214234,3
0.442726231,0.109752696,3
0.452654066,0.0982501797,3
0.46410882,0.0819554277,3
0.471744559,0.0685363048,3
0.481672394,0.0656606758,3
0.494654066,0.0503235083,3
0.505345934,0.035945363,3
0.512981672,0.0177325665,3
0.520618557,0.00527246585,3
0.52978236,-0.0081480949,3
0.538946163,-0.0215672178,3
0.545819015,-0.035945363,3
0.553455899,-0.0474478792,3
0.56185567,-0.0551157441,3
0.571019473,-0.0608670022,3
0.579419244,-0.0714119339,3
0.587056128,-0.0809964055,3
0.593928981,-0.0924989216,3
0.607674685,-0.106877067,3
0.616838488,-0.119338605,3
0.625238259,-0.131800144,3
0.633639175,-0.138508986,3
0.639747995,-0.146178289,3
0.64738488,-0.153846154,3
0.651966781,-0.157680805,3
0.658075601,-0.170140906,3
0.65960252,-0.176851186,3
0.671821306,-0.174934579,3
0.679075601,-0.18116463,3
0.682130584,-0.194583753,3
0.688239404,-0.208961898,3
0.70045819,-0.21950683,3
0.713439863,-0.230050324,3
0.728713631,-0.239636233,3
0.742459336,-0.252096334,3
0.753150057,-0.274143781,3
0.753150057,-0.290438533,3
0.770713631,-0.296189792,3
0.786750286,-0.311526959,3
0.800495991,-0.322070453,3
0.807368843,-0.331656362,3
0.815769759,-0.340283249,3
0.829515464,-0.339324227,3
0.840206186,-0.343158879,3
0.848605956,-0.357537024,3
0.853187858,-0.365204889,3
0.858533792,-0.375748382,3
0.866933562,-0.375748382,3
0.876861397,-0.381499641,3
0.878388316,-0.393002157,3
0.884498282,-0.405463695,3
0.884498282,-0.417925234,3
0.882207331,-0.428468728,3
0.875334479,-0.427509705,3
0.869224513,-0.433260963,3
0.870752577,-0.44188785,3
0.875334479,-0.452432782,3
